x,y,z,name,state
28.08,10.58,55.63,h_068.JPG,1
24.37,10.88,55.77,h_069.JPG,1
21.48,11.08,55.75,h_070.JPG,1
18.99,11.28,55.1,h_071.JPG,1
16.09,11.28,55.08,h_072.JPG,1
13.2,11.38,55.07,h_073.JPG,1
10.45,11.28,55.2,h_074.JPG,1
7.42,11.18,55.02,h_075.JPG,1
4.39,10.98,54.85,h_076.JPG,1
-0.72,9.98,51.16,h_077.JPG,1
-0.99,7.78,53.06,h_078.JPG,0
3.57,8.78,55,h_079.JPG,1
7.14,8.98,54.7,h_080.JPG,1
10.18,9.18,54.88,h_081.JPG,1
13.07,9.28,54.91,h_082.JPG,1
15.41,9.28,55.39,h_083.JPG,1
18.3,9.18,55.41,h_084.JPG,1
21.34,8.98,55.59,h_085.JPG,1
24.37,8.58,55.77,h_086.JPG,1
28.08,8.18,55.63,h_087.JPG,0
32.08,7.48,55.82,h_088.JPG,1
32.08,4.78,55.82,h_089.JPG,1
24.24,8.68,62.3,h_090.JPG,0
24.37,6.28,55.77,h_091.JPG,0
19.42,9.48,62.27,h_092.JPG,0
16.81,9.68,62.57,h_093.JPG,0
15.15,9.68,61.77,h_094.JPG,0
12.38,7.18,55.22,h_095.JPG,0
9.35,7.08,55.04,h_096.JPG,1
6.31,6.78,54.86,h_097.JPG,1
3.15,6.38,54.52,h_098.JPG,1
-4.3,3.48,49.21,h_099.JPG,0
31.26,15.38,55.97,i_001.JPG,1
27.95,14.98,55.47,i_002.JPG,1
24.23,14.78,55.61,i_003.JPG,1
21.2,14.58,55.43,i_004.JPG,1
18.3,14.48,55.41,i_005.JPG,1
15.96,14.48,54.92,i_006.JPG,1
13.07,14.38,54.91,i_007.JPG,1
10.18,14.48,54.88,i_008.JPG,1
7.14,14.58,54.7,i_009.JPG,1
3.97,14.78,54.36,i_010.JPG,1
4.12,12.58,54.53,i_013.JPG,1
7.28,12.58,54.86,i_014.JPG,1
10.18,12.48,54.88,i_015.JPG,1
13.07,12.48,54.91,i_016.JPG,1
15.96,12.48,54.92,i_017.JPG,1
18.3,12.48,55.41,i_018.JPG,1
21.34,12.58,55.59,i_019.JPG,1
24.23,12.58,55.61,i_020.JPG,1
27.4,12.78,55.95,i_021.JPG,1
31.26,12.98,55.97,i_022.JPG,1
31.26,10.58,55.97,i_023.JPG,1
27.4,10.48,55.95,i_024.JPG,1
24.23,10.58,55.61,i_025.JPG,1
21.34,10.58,55.59,i_026.JPG,1
18.44,10.58,55.57,i_027.JPG,1
16.09,10.58,55.08,i_028.JPG,1
13.2,10.58,55.07,i_029.JPG,1
10.32,10.58,55.04,i_030.JPG,1
7.28,10.58,54.86,i_031.JPG,1
4.25,10.58,54.69,i_032.JPG,1
-0.71,8.18,52.27,i_034.JPG,0
4.25,8.48,54.69,i_035.JPG,1
